index,name,latitude,longitude,region
2434,BOTRUGNO,40.07,18.32,Puglia
2527,PENEGAL,46.44,11.22,Trentino-Alto Adige/Südtirol
2570,ROCCA CANAVESE,45.32,7.58,Piemonte
2575,GABY,45.7,7.88,Valle d'Aosta / Vallée d'Aoste
2599,CELLA MONTE,45.08,8.38,Piemonte
2616,FRAGNETO L'ABATE,41.27,14.78,Campania
2656,"PULA, SARDINIA",39.02,9.0,Sardigna/Sardegna
2666,CREVACUORE,45.7,8.25,Piemonte
2851,CORBARA,40.72,14.6,Campania
2859,FELDTHURNS,46.67,11.6,Trentino-Alto Adige/Südtirol
2868,AVOLA,36.92,15.13,Sicilia
2870,CESA,40.97,14.23,Campania
2879,MONTONE,43.36,12.33,Umbria
2913,LENNO,45.97,9.2,Lombardia
2944,PONCIONE D'ARZO,45.89,8.93,Lombardia
2961,MONOPOLI,40.95,17.3,Puglia
3080,"IRMA, LOMBARDY",45.77,10.28,Lombardia
3085,OSTIANO,45.22,10.25,Lombardia
3111,LONIGO RAILWAY STATION,45.41,11.35,Veneto
3112,VAL REZZO,46.07,9.12,Lombardia
3182,DOMICELLA,40.88,14.59,Campania
3195,BAGALADI,38.03,15.82,Calabria
3202,CEVO,46.08,10.37,Lombardia
3255,CEVA,44.38,8.03,Piemonte
3312,MONTE GALERO,44.16,8.02,Liguria
3337,NURAGHE LOSA,40.12,8.79,Sardigna/Sardegna
3351,SIRTORI,45.73,9.33,Lombardia
3355,RAVISCANINA,41.37,14.25,Campania
3372,ELBA,42.76,10.24,Toscana
3443,OGGEBBIO,45.98,8.65,Piemonte
3491,SCHIGNANO,45.93,9.1,Lombardia
3629,CONCA CASALE,41.5,14.07,Molise
3634,MONCALIERI,45.0,7.68,Piemonte
3638,GRAVELLONA TOCE,45.93,8.43,Piemonte
3807,SAN COSTANTINO ALBANESE,40.03,16.3,Basilicata
3833,CERVARA DI ROMA,41.98,13.07,Lazio
3864,ALTA VALLE INTELVI,45.98,9.03,Lombardia
3921,SUESSULA,40.99,14.4,Campania
3984,ZENSON DI PIAVE,45.68,12.5,Veneto
4045,MOTTA MONTECORVINO,41.5,15.12,Puglia
4224,SAURIS,46.47,12.72,Friuli-Venezia Giulia
4324,CORATO RAILWAY STATION,41.16,16.42,Puglia
4326,SANTO STINO DI LIVENZA RAILWAY STATION,45.72,12.68,Veneto
4471,PALAGIANO,40.58,17.05,Puglia
4498,SOLETO,40.18,18.2,Puglia
4597,RIVE D'ARCANO,46.13,13.03,Friuli-Venezia Giulia
4626,SCYLLETIUM,38.81,16.6,Calabria
4681,ELLO,45.78,9.37,Lombardia
4754,PORTOFERRAIO,42.82,10.32,Toscana
4765,STRIANO,40.82,14.57,Campania
4768,PIZZO DI MADÉI,46.23,8.47,Piemonte
4809,PARMA RAILWAY STATION,44.81,10.33,Emilia-Romagna
4814,SABAUDIA,41.3,13.02,Lazio
4881,KRONPLATZ,46.74,11.96,Trentino-Alto Adige/Südtirol
4905,NOASCA,45.45,7.32,Piemonte
4927,COLBORDOLO,43.82,12.72,Marche
4967,PIZ DAL TEO,46.37,10.13,Lombardia
5030,"PONZA, LAZIO",40.9,12.97,Lazio
5077,QUARTO D'ALTINO,45.58,12.37,Veneto
5151,RIVA LIGURE,43.83,7.88,Liguria
5214,SIRACUSA RAILWAY STATION,37.07,15.28,Sicilia
5222,FAUGLIA,43.57,10.52,Toscana
5253,TÊTE DE VALPELLINE,45.98,7.58,Valle d'Aosta / Vallée d'Aoste
5300,GRAZZANO BADOGLIO,45.03,8.32,Piemonte
5349,MASSAFRA RAILWAY STATION,40.58,17.11,Puglia
5355,LUCOLI,42.29,13.34,Abruzzo
5368,"NE, LIGURIA",44.35,9.4,Liguria
5401,CANTIANO,43.47,12.63,Marche
5405,OTRANTO RAILWAY STATION,40.15,18.48,Puglia
5425,MONTE CALVO (PICENTINI),40.41,15.06,Campania
5431,MONTECASSIANO,43.37,13.43,Marche
5448,SASSO MARCONI,44.4,11.25,Emilia-Romagna
5521,GRAND HOTEL QUISISANA,40.55,14.24,Campania
5617,MONTE VELINO,42.15,13.37,Abruzzo
5667,PEDEROBBA,45.87,11.95,Veneto
5695,OCCHIOBELLO,44.92,11.58,Veneto
5718,SAN VITO ROMANO,41.88,12.98,Lazio
5782,COLLALTO SABINO,42.13,13.05,Lazio
5818,"RICCIA, MOLISE",41.48,14.83,Molise
5828,CAMUGNANO,44.17,11.1,Emilia-Romagna
5853,CASTIGLIONE CHIAVARESE,44.28,9.52,Liguria
5897,STARHOTELS ANDERSON,45.48,9.21,Lombardia
5981,RIOLO TERME,44.28,11.73,Emilia-Romagna
5988,COLTURANO,45.38,9.33,Lombardia
6028,MACERATA CAMPANIA,41.07,14.27,Campania
6099,FONTE,45.78,11.87,Veneto
6110,FOIANO DELLA CHIANA,43.25,11.82,Toscana
6182,CASAPESENNA,41.0,14.13,Campania
6225,LEMIE,45.23,7.3,Piemonte
6246,CHIUSI DELLA VERNA,43.7,11.93,Toscana
6285,CASTELLETTO STURA,44.45,7.63,Piemonte
6289,VERDELLO,45.6,9.63,Lombardia
6296,BOVILLE ERNICA,41.65,13.47,Lazio
6340,TARZO,45.97,12.23,Veneto
6389,VILLA SAN SECONDO,45.0,8.13,Piemonte
6393,FONTANELLATO,44.88,10.18,Emilia-Romagna
6451,LUNGAVILLA,45.03,9.08,Lombardia
6464,CORDOVADO,45.85,12.88,Friuli-Venezia Giulia
6487,GOMBITO,45.27,9.73,Lombardia
6499,"VESCOVATO, LOMBARDY",45.17,10.17,Lombardia
6523,FONNI,40.12,9.25,Sardigna/Sardegna
6529,VILLAPUTZU,39.43,9.58,Sardigna/Sardegna
6535,VERVÒ,46.3,11.12,Trentino-Alto Adige/Südtirol
6553,VILLANOVA DEL GHEBBO,45.07,11.65,Veneto
6560,"MELLO, LOMBARDY",46.15,9.55,Lombardia
6608,SANTA TERESA DI RIVA,37.93,15.35,Sicilia
6642,COMELICO SUPERIORE,46.58,12.52,Veneto
6732,MONTE RAMACETO,44.42,9.37,Liguria
6775,"RIFFIAN, SOUTH TYROL",46.7,11.18,Trentino-Alto Adige/Südtirol
6780,"RUDA, FRIULI",45.83,13.4,Friuli-Venezia Giulia
6792,CALCERANICA AL LAGO,46.07,11.23,Trentino-Alto Adige/Südtirol
6850,UMBERTIDE,43.3,12.33,Umbria
6853,"KLAUSEN, SOUTH TYROL",46.63,11.57,Trentino-Alto Adige/Südtirol
7129,TUCKETTSPITZE,46.5,10.49,Trentino-Alto Adige/Südtirol
7207,BICCARI,41.4,15.2,Puglia
7292,GIAVERA DEL MONTELLO,45.8,12.17,Veneto
7339,"BOCA, NOVARA",45.68,8.42,Piemonte
7488,CAMPAGNATICO,42.88,11.27,Toscana
7566,MORFASSO,44.72,9.7,Emilia-Romagna
7654,CERVESINA,45.05,9.02,Lombardia
7659,MONTÙ BECCARIA,45.03,9.32,Lombardia
7840,PIZZO CAMINO,45.98,10.18,Lombardia
7849,"SAN TEODORO, SARDINIA",40.77,9.67,Sardigna/Sardegna
7928,PORTO SAN GIORGIO,43.18,13.8,Marche
8107,RIVARONE,44.98,8.72,Piemonte
8207,AICURZIO,45.63,9.42,Lombardia
8277,"TRES, TRENTINO",46.32,11.1,Trentino-Alto Adige/Südtirol
8356,CARPIGNANO SESIA RAILWAY STATION,45.53,8.42,Piemonte
8359,CASOLE D'ELSA,43.33,11.05,Toscana
8361,NEROLA,42.17,12.78,Lazio
8387,ZIGNAGO,44.28,9.75,Liguria
8395,SAN GREGORIO DA SASSOLA,41.92,12.87,Lazio
8421,RONCOFERRARO,45.08,10.88,Lombardia
8439,PIANCOGNO,45.92,10.23,Lombardia
8484,BLESSAGNO,45.97,9.1,Lombardia
8631,SPADOLA,38.6,16.33,Calabria
8788,ROSELLO,41.9,14.35,Abruzzo
8885,STRAMBINELLO,45.42,7.77,Piemonte
8933,SAN LAZZARO DI SAVENA,44.47,11.41,Emilia-Romagna
9005,VIGNATE RAILWAY STATION,45.49,9.38,Lombardia
9019,MONTE SIBILLA,42.9,13.26,Marche
9026,ROYAL PALACE OF NAPLES,40.84,14.25,Campania
9060,PONTE SAN NICOLÒ,45.37,11.93,Veneto
9144,TIRANO RAILWAY STATION (RFI),46.22,10.17,Lombardia
9172,RIVIERA AIRPORT,44.05,8.13,Liguria
9249,CERRO VERONESE,45.57,11.03,Veneto
9266,MONTE SUBASIO,43.06,12.66,Umbria
9313,CASSOLA,45.73,11.78,Veneto
9339,CINISELLO BALSAMO,45.55,9.22,Lombardia
